item_name,item_category,cart_after_view_sessions,purchase_after_cart_sessions,cart_without_purchase_sessions,cart_to_purchase_rate_pct,cart_abandonment_rate_pct
Google Canteen Bottle Black,Lifestyle/,648,65,583,10.03,89.97
Google Bear Baby Blanket Beige,Small Goods,589,8,581,1.36,98.64
Google Pen Citron,Home/Stationery/Writing/,613,33,580,5.38,94.62
Google Super G Tumbler (Red Lid),Home/Eco-Friendly/,597,20,577,3.35,96.65
Google Infant Hero Tee Olive,Home/Apparel/Kids/,582,13,569,2.23,97.77
Android Iconic 4&quot; Decal,Home/Stationery/Stickers/,568,3,565,0.53,99.47
Android Iconic Sticker Sheet,Home/Stationery/Stickers/,572,8,564,1.4,98.6
Google Mural Sticker Sheet,Small Goods,603,41,562,6.8,93.2
Google Youth Badge Tee Navy,Home/Apparel/Kids/,570,14,556,2.46,97.54
Google Recycled Pen Black,Home/Eco-Friendly/,579,24,555,4.15,95.85
Google Light Pen Red,Home/Stationery/Writing/,589,41,548,6.96,93.04
Google Crew Combed Cotton Sock,Home/Apparel/Socks/,574,38,536,6.62,93.38
Android Pocket Toddler Tee Navy,Home/Apparel/Kids/,547,18,529,3.29,96.71
Google Decal,Home/Shop by Brand/,550,22,528,4.0,96.0
Google Super G Tumbler (Blue Lid),Home/Eco-Friendly/,529,7,522,1.32,98.68
Google Perk Thermal Tumbler,Lifestyle/Drinkware/,570,49,521,8.6,91.4
Google Toddler Hero Tee Black,Sale,534,13,521,2.43,97.57
Google Toddler Tee White,Home/Apparel/Kids/,531,16,515,3.01,96.99
Google Campus Bike Grid Task Pad,Stationery,522,11,511,2.11,97.89
Google Youth Badge Tee Olive,Home/Apparel/Kids/,527,20,507,3.8,96.2
Google Pen Bright Blue,Home/Stationery/Writing/,539,34,505,6.31,93.69
YouTube 25 oz Gear Cap Bottle Black,Home/Shop by Brand/YouTube/,512,8,504,1.56,98.44
Google Youth Hero Tee Grey,Home/Apparel/Kids/,511,14,497,2.74,97.26
Google 24oz Ring Bottle Blue,Lifestyle/Drinkware/,520,28,492,5.38,94.62
Maze Pen,Home/Stationery/,516,24,492,4.65,95.35
Google Pride Sticker,Home/Stationery/Stickers/,499,22,477,4.41,95.59
Google Bot (Multicolored),Home/New/,490,21,469,4.29,95.71
Google ApPeel Journal Red,Home/Stationery/Notebooks/,473,8,465,1.69,98.31
#IamRemarkable Unisex Hoodie,Home/Apparel/,478,17,461,3.56,96.44
Google Tee F/C Black,Sale,450,2,448,0.44,99.56
Google Youth Hero Tee Maroon,Home/Apparel/Kids/,444,7,437,1.58,98.42
Google Pen Grey,Home/Stationery/Writing/,452,20,432,4.42,95.58
Google Tee Blue,Home/Sale/,437,7,430,1.6,98.4
Google Chrome Dino Light Up Water Bottle,Home/New/,429,6,423,1.4,98.6
Google Mini Kick Ball,Lifestyle/,433,11,422,2.54,97.46
Android Buoy Bottle,Home/Shop by Brand/Android/,452,32,420,7.08,92.92
Google Light Pen Green,Home/Stationery/Writing/,453,35,418,7.73,92.27
Google Tee Red,Home/Sale/,424,10,414,2.36,97.64
Google Cotopaxi Shell,Home/Eco-Friendly/,426,17,409,3.99,96.01
Google Pen Grass Green,Home/Stationery/Writing/,426,18,408,4.23,95.77
Google Color Block Notebook,Home/Stationery/Notebooks/,410,8,402,1.95,98.05
Google Crew Striped Athletic Sock,Home/Apparel/Socks/,426,37,389,8.69,91.31
Google Tee Dark Blue,Home/Sale/,389,0,389,0.0,100.0
Google Infant Charcoal Onesie,,399,15,384,3.76,96.24
Google Hemp Tote,Home/Eco-Friendly/,407,26,381,6.39,93.61
Flamingo and Friends Tee Blue,Men's T-Shirts/,395,14,381,3.54,96.46
Google Men's Tech Fleece Vest Charcoal,Men's / Unisex,392,25,367,6.38,93.62
Google Cloth & Pouch Black,Lifestyle/,369,3,366,0.81,99.19
Google Toddler FC Zip Hoodie,Home/Apparel/Kids/,394,29,365,7.36,92.64
Android Iconic Socks,Home/Apparel/Socks/,372,12,360,3.23,96.77
Google Mountain View Campus Sticker,,364,8,356,2.2,97.8
Google Shoreline Water Bottle,Lifestyle/,363,9,354,2.48,97.52
#IamRemarkable Pen,Home/Stationery/Writing/,357,3,354,0.84,99.16
Google Mural Sticky Note Pad,Home/Stationery/Notebooks/,379,26,353,6.86,93.14
Google Mountain View Tee Blue,Sale,349,0,349,0.0,100.0
Google Sunnyvale Campus Sticker,Home/Sale/,352,10,342,2.84,97.16
Google Mountain View Campus Unisex Tee,Home/Shop by Brand/Google/,342,3,339,0.88,99.12
Google Stylus Pen w/ LED Light,Home/Stationery/Writing/,331,0,331,0.0,100.0
Google Mural Socks,Home/Apparel/Socks/,344,19,325,5.52,94.48
Google Recycled Pen Green,Home/Eco-Friendly/,325,6,319,1.85,98.15
Supernatural Paper Backpack,Home/Eco-Friendly/,319,2,317,0.63,99.37
Google Sunglasses,Small Goods,333,20,313,6.01,93.99
Google PNW Campus Sticker,Home/Sale/,311,7,304,2.25,97.75
Google LA Campus Sticker,Home/Campus Collection/,316,23,293,7.28,92.72
Google Seattle Campus Sticker,Home/Sale/,312,19,293,6.09,93.91
Candy Cane Android Cardboard Sculpture,Lifestyle/Small Goods/,290,0,290,0.0,100.0
Google Men's Softshell Moss,Home/Apparel/Men's / Unisex/,293,7,286,2.39,97.61
Android Pocket Tee Navy,Men's / Unisex,309,24,285,7.77,92.23
Google Boulder Campus Sticker,Home/Shop by Brand/Google/,298,17,281,5.7,94.3
Google Black Cloud Zip Hoodie,Home/New/,296,18,278,6.08,93.92
White Google Shoreline Bottle,Home/New/,293,18,275,6.14,93.86
Stainless Straight Straw/Cleaner,Home/Eco-Friendly/,288,14,274,4.86,95.14
Google Confetti Task Pad,Home/Stationery/Notebooks/,286,14,272,4.9,95.1
Android Iconic Bottle Black,Lifestyle/Drinkware/,268,1,267,0.37,99.63
Google Felt Luggage Tag,Home/Eco-Friendly/,279,13,266,4.66,95.34
Google Tonal Tee Coral,Sale,268,2,266,0.75,99.25
Google Tee Grey,Sale,272,7,265,2.57,97.43
Supernatural Paper Lunch Sack,Home/Eco-Friendly/,268,4,264,1.49,98.51
Google Cork Pencil Pouch,Lifestyle/Bags/,275,14,261,5.09,94.91
Google Bellevue Campus Sticker,Home/Sale/,265,5,260,1.89,98.11
Supernatural Paper Tote,Home/Eco-Friendly/,259,2,257,0.77,99.23
Google Kirkland Campus Sticker,Home/Sale/,263,7,256,2.66,97.34
Google Cork Card Holder,Sale,262,12,250,4.58,95.42
Google Cork Key Ring,Home/Eco-Friendly/,257,10,247,3.89,96.11
Google Toddler Hero Tee Olive,Home/Apparel/Kids/,256,9,247,3.52,96.48
Google Cork Passport Holder,Home/Eco-Friendly/,253,14,239,5.53,94.47
Google Women's Tech Fleece Vest Charcoal,Home/Sale/,234,7,227,2.99,97.01
Google Striped Penny Pouch,Lifestyle/,233,8,225,3.43,96.57
Google Cork Tablet Case,Home/Eco-Friendly/,228,3,225,1.32,98.68
Google Premium Sunglasses,Home/Shop by Brand/Google/,229,17,212,7.42,92.58
Google Red Kids Sunglasses,Home/Shop by Brand/Google/,227,16,211,7.05,92.95
Google Knit Blanket,Small Goods,220,9,211,4.09,95.91
Google NYC Campus Unisex Tee,Campus Collection,215,4,211,1.86,98.14
Google Campus Bike Corkbase Mug Blue,Mugs & Tumblers/,233,23,210,9.87,90.13
Google Lightweight Crew Sweatshirt Grey,Home/Sale/,207,0,207,0.0,100.0
Google Clear Framed Yellow Shades,Lifestyle/,225,24,201,10.67,89.33
Stan and Friends Onesie Green,Men's T-Shirts/,200,5,195,2.5,97.5
Google Confetti Pen White,Home/Shop by Brand/Google/,208,14,194,6.73,93.27
Google Sunnyvale Campus Mug,Campus Collection,216,23,193,10.65,89.35
Google NYC Campus Zip Hoodie,Home/Campus Collection/,223,34,189,15.25,84.75
Google KeepCup,Home/Eco-Friendly/,209,20,189,9.57,90.43
Google Recycled Writing Set,Writing,212,27,185,12.74,87.26
Google Twill Cap Charcoal,Home/Apparel/,201,20,181,9.95,90.05
Google Kids Playful Tee,Home/Sale/,178,0,178,0.0,100.0
Google Blue Kids Sunglasses,Small Goods,199,24,175,12.06,87.94
Google Packable Bag Black,Bags,198,26,172,13.13,86.87
Google Women's Black Tee,Home/Sale/,176,4,172,2.27,97.73
Google Magnet,Small Goods,223,54,169,24.22,75.78
Android Pocket Youth Tee Green,Home/Apparel/,172,6,166,3.49,96.51
Google Sunnyvale Campus Zip Hoodie,Home/Campus Collection/,166,5,161,3.01,96.99
Google Mural Mug,Lifestyle/Drinkware/,189,29,160,15.34,84.66
